Created from ECC_para_cor_17171717.fits at 2026-05-29 21:39:16.745455
 Channel energy edges obtained from elut_creator.py
Offset (ADC),Gain (keV/ADC),Pixel,Detector,ADC Edge #0 - 4 keV,ADC Edge #1 - 5 keV,ADC Edge #2 - 6 keV,ADC Edge #3 - 7 keV,ADC Edge #4 - 8 keV,ADC Edge #5 - 9 keV,ADC Edge #6 - 10 keV,ADC Edge #7 - 11 keV,ADC Edge #8 - 12 keV,ADC Edge #9 - 13 keV,ADC Edge #10 - 14 keV,ADC Edge #11 - 15 keV,ADC Edge #12 - 16 keV,ADC Edge #13 - 18 keV,ADC Edge #14 - 20 keV,ADC Edge #15 - 22 keV,ADC Edge #16 - 25 keV,ADC Edge #17 - 28 keV,ADC Edge #18 - 32 keV,ADC Edge #19 - 36 keV,ADC Edge #20 - 40 keV,ADC Edge #21 - 45 keV,ADC Edge #22 - 50 keV,ADC Edge #23 - 56 keV,ADC Edge #24 - 63 keV,ADC Edge #25 - 70 keV,ADC Edge #26 - 76 keV,ADC Edge #27 - 84 keV,ADC Edge #28 - 100 keV,ADC Edge #29 - 120 keV,ADC Edge #30 - 150 keV
895.13635,0.11112692,0,0,931,940,949,958,967,976,985,994,1003,1012,1021,1030,1039,1057,1075,1093,1120,1147,1183,1219,1255,1300,1345,1399,1462,1525,1579,1651,1795,1975,2245
897.916,0.11128487,1,0,934,943,952,961,970,979,988,997,1006,1015,1024,1033,1042,1060,1078,1096,1123,1150,1185,1221,1257,1302,1347,1401,1464,1527,1581,1653,1797,1976,2246
895.0578,0.11094171,2,0,931,940,949,958,967,976,985,994,1003,1012,1021,1030,1039,1057,1075,1093,1120,1147,1183,1220,1256,1301,1346,1400,1463,1526,1580,1652,1796,1977,2247
896.90894,0.11204457,3,0,933,942,950,959,968,977,986,995,1004,1013,1022,1031,1040,1058,1075,1093,1120,1147,1183,1218,1254,1299,1343,1397,1459,1522,1575,1647,1789,1968,2236
887.8694,0.11147716,4,0,924,933,942,951,960,969,978,987,996,1004,1013,1022,1031,1049,1067,1085,1112,1139,1175,1211,1247,1292,1336,1390,1453,1516,1570,1641,1785,1964,2233
899.5336,0.11252143,5,0,935,944,953,962,971,980,988,997,1006,1015,1024,1033,1042,1060,1077,1095,1122,1148,1184,1219,1255,1299,1344,1397,1459,1522,1575,1646,1788,1966,2233
895.1063,0.110109895,6,0,931,941,950,959,968,977,986,995,1004,1013,1022,1031,1040,1059,1077,1095,1122,1149,1186,1222,1258,1304,1349,1404,1467,1531,1585,1658,1803,1985,2257
888.0084,0.111344606,7,0,924,933,942,951,960,969,978,987,996,1005,1014,1023,1032,1050,1068,1086,1113,1139,1175,1211,1247,1292,1337,1391,1454,1517,1571,1642,1786,1966,2235
889.3883,0.11075984,8,0,926,935,944,953,962,971,980,989,998,1007,1016,1025,1034,1052,1070,1088,1115,1142,1178,1214,1251,1296,1341,1395,1458,1521,1576,1648,1792,1973,2244
901.1112,0.11176658,9,0,937,946,955,964,973,982,991,1000,1008,1017,1026,1035,1044,1062,1080,1098,1125,1152,1187,1223,1259,1304,1348,1402,1465,1527,1581,1653,1796,1975,2243
899.98663,0.111501895,10,0,936,945,954,963,972,981,990,999,1008,1017,1026,1035,1043,1061,1079,1097,1124,1151,1187,1223,1259,1304,1348,1402,1465,1528,1582,1653,1797,1976,2245
884.5384,0.11178342,11,0,920,929,938,947,956,965,974,983,992,1001,1010,1019,1028,1046,1063,1081,1108,1135,1171,1207,1242,1287,1332,1386,1448,1511,1564,1636,1779,1958,2226
876.5815,0.10975524,0,1,913,922,931,940,949,959,968,977,986,995,1004,1013,1022,1041,1059,1077,1104,1132,1168,1205,1241,1287,1332,1387,1451,1514,1569,1642,1788,1970,2243
